src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,zh,trankit,rgat,xlmr-base,15123,0.6148045202996796
en,zh,None,None,xlmr-base,15123,0.6077133564928386
en,zh,stanza,rgcn,xlmr-base,98105,0.6580061138806204
en,zh,stanza,rgat,xlmr-base,98105,0.6193587770815412
en,zh,trankit,rgcn,xlmr-base,98105,0.651323109253671
en,zh,trankit,rgat,xlmr-base,98105,0.685871633329525
en,zh,None,None,xlmr-base,98105,0.6418614021306477
en,zh,stanza,rgcn,xlmr-base,98109,0.6564338282872324
en,zh,stanza,rgat,xlmr-base,98109,0.618405259113913
en,zh,trankit,rgcn,xlmr-base,98109,0.621798150836949
en,zh,trankit,rgat,xlmr-base,98109,0.6632393197146828
en,zh,None,None,xlmr-base,98109,0.63289616172435
en,zh,stanza,rgcn,xlmr-base,15232,0.5601241160366757
en,zh,stanza,rgat,xlmr-base,15232,0.5498338285328459
en,zh,trankit,rgcn,xlmr-base,15232,0.6285152626089496
en,zh,trankit,rgat,xlmr-base,15232,0.6444188206934786
en,zh,None,None,xlmr-base,15232,0.6577688089701912
es,en,stanza,rgcn,mbert-base,11737,0.7751443544717336
es,en,stanza,rgat,mbert-base,11737,0.7901219476358672
es,en,trankit,rgcn,mbert-base,11737,0.7858298643779548
es,en,trankit,rgat,mbert-base,11737,0.8055811250241451
es,en,None,None,mbert-base,11737,0.7587334928573463
es,en,stanza,rgcn,mbert-base,15123,0.7584823537600665
es,en,stanza,rgat,mbert-base,15123,0.7693758492222394
es,en,trankit,rgcn,mbert-base,15123,0.773398038298158
es,en,trankit,rgat,mbert-base,15123,0.763555546322217
es,en,None,None,mbert-base,15123,0.7762382766454166
es,en,stanza,rgcn,mbert-base,98105,0.7486414477043871
es,en,stanza,rgat,mbert-base,98105,0.7934446237502154
es,en,trankit,rgcn,mbert-base,98105,0.7873263723637648
es,en,trankit,rgat,mbert-base,98105,0.7732173817802722
es,en,None,None,mbert-base,98105,0.75761862317746
es,en,stanza,rgcn,mbert-base,98109,0.7848677046965562
es,en,stanza,rgat,mbert-base,98109,0.7895191811846433
es,en,trankit,rgcn,mbert-base,98109,0.8062802056070333
es,en,trankit,rgat,mbert-base,98109,0.8091850320512987
es,en,None,None,mbert-base,98109,0.7766397722313432
es,en,stanza,rgcn,mbert-base,15232,0.7787248603518533
es,en,stanza,rgat,mbert-base,15232,0.7888635098794101
es,en,trankit,rgcn,mbert-base,15232,0.7708475922941914
es,en,trankit,rgat,mbert-base,15232,0.7847031422385786
es,en,None,None,mbert-base,15232,0.7749681586457101
es,en,stanza,rgcn,xlmr-base,11737,0.7152577410355115
es,en,stanza,rgat,xlmr-base,11737,0.7442889497533776
es,en,trankit,rgcn,xlmr-base,11737,0.7504656913245494
es,en,trankit,rgat,xlmr-base,11737,0.7238068156679253
es,en,None,None,xlmr-base,11737,0.7302312418920804
es,en,stanza,rgcn,xlmr-base,15123,0.702184437901769
es,en,stanza,rgat,xlmr-base,15123,0.6920441663978965
es,en,trankit,rgcn,xlmr-base,15123,0.7190984071666192
es,en,trankit,rgat,xlmr-base,15123,0.6972696528902729
es,en,None,None,xlmr-base,15123,0.7381000620881735
es,en,stanza,rgcn,xlmr-base,98105,0.7644760840830499
es,en,stanza,rgat,xlmr-base,98105,0.7001921283489934
es,en,trankit,rgcn,xlmr-base,98105,0.7248867155599956
es,en,trankit,rgat,xlmr-base,98105,0.7199278440147422
es,en,None,None,xlmr-base,98105,0.7292642079265406
es,en,stanza,rgcn,xlmr-base,98109,0.715986358850394
es,en,stanza,rgat,xlmr-base,98109,0.6650452034324077
es,en,trankit,rgcn,xlmr-base,98109,0.6971612119391775
es,en,trankit,rgat,xlmr-base,98109,0.6937005392568385
es,en,None,None,xlmr-base,98109,0.7296955609756655
es,en,stanza,rgcn,xlmr-base,15232,0.7216447864667526
es,en,stanza,rgat,xlmr-base,15232,0.7354274365273681
es,en,trankit,rgcn,xlmr-base,15232,0.7386312692228022
es,en,trankit,rgat,xlmr-base,15232,0.6693674256933034
es,en,None,None,xlmr-base,15232,0.728540475730377
es,es,stanza,rgcn,mbert-base,11737,0.8026462479888608
es,es,stanza,rgat,mbert-base,11737,0.7978056443540256
es,es,trankit,rgcn,mbert-base,11737,0.8142328188480529
es,es,trankit,rgat,mbert-base,11737,0.8029374117334419
es,es,None,None,mbert-base,11737,0.8033488986999147
es,es,stanza,rgcn,mbert-base,15123,0.7866095112857217
es,es,stanza,rgat,mbert-base,15123,0.8285766201968661
es,es,trankit,rgcn,mbert-base,15123,0.8097438644617838
es,es,trankit,rgat,mbert-base,15123,0.8048268874596782
es,es,None,None,mbert-base,15123,0.7710315443583021
es,es,stanza,rgcn,mbert-base,98105,0.7731673565356108
es,es,stanza,rgat,mbert-base,98105,0.8229386772102061
es,es,trankit,rgcn,mbert-base,98105,0.8291670369231263
es,es,trankit,rgat,mbert-base,98105,0.8088799971549264
es,es,None,None,mbert-base,98105,0.7916982315488508
es,es,stanza,rgcn,mbert-base,98109,0.8184474708937655
es,es,stanza,rgat,mbert-base,98109,0.8140531410546992
es,es,trankit,rgcn,mbert-base,98109,0.7890260122914637
es,es,trankit,rgat,mbert-base,98109,0.8121384504701054
es,es,None,None,mbert-base,98109,0.7851540734225225
es,es,stanza,rgcn,mbert-base,15232,0.7946859364428758
es,es,stanza,rgat,mbert-base,15232,0.7758334652418002
es,es,trankit,rgcn,mbert-base,15232,0.792751382101299
es,es,trankit,rgat,mbert-base,15232,0.7582195255088046
es,es,None,None,mbert-base,15232,0.8042647577183061
es,es,stanza,rgcn,xlmr-base,11737,0.7600228281395762
es,es,stanza,rgat,xlmr-base,11737,0.7940339871196069
es,es,trankit,rgcn,xlmr-base,11737,0.7793247116461077
es,es,trankit,rgat,xlmr-base,11737,0.7711189583262845
