src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
it,ar,stanza,rgat,mbert-base,"[11737, 98105, 98109]",72.17,1.64,70.15,3.28
it,ar,trankit,rgcn,mbert-base,"[15123, 15232, 11737]",70.96,1.01,69.55,2.12
it,ar,trankit,rgat,mbert-base,"[11737, 15123, 15232]",71.66,1.0,71.13,1.01
it,ar,None,None,mbert-base,"[11737, 15232, 15123]",72.96,2.0,70.21,3.72
it,ar,stanza,rgcn,xlmr-base,"[15232, 15123, 98105]",61.79,0.34,60.16,2.04
it,ar,stanza,rgat,xlmr-base,"[98109, 15123, 98105]",62.21,0.12,61.6,1.03
it,ar,trankit,rgcn,xlmr-base,"[98105, 15123, 98109]",64.51,1.02,61.49,3.88
it,ar,trankit,rgat,xlmr-base,"[98109, 15232, 98105]",63.57,3.4,61.46,3.79
it,ar,None,None,xlmr-base,"[15123, 98105, 15232]",60.81,0.52,59.83,1.38
it,zh,stanza,rgcn,mbert-base,"[11737, 98105, 15123]",70.04,0.75,68.87,1.55
it,zh,stanza,rgat,mbert-base,"[98105, 98109, 11737]",70.48,0.36,67.55,4.14
it,zh,trankit,rgcn,mbert-base,"[15232, 15123, 98105]",69.23,1.93,67.86,2.25
it,zh,trankit,rgat,mbert-base,"[11737, 98109, 98105]",71.47,0.93,69.97,2.12
it,zh,None,None,mbert-base,"[11737, 15232, 15123]",70.8,1.03,67.76,4.22
it,zh,stanza,rgcn,xlmr-base,"[15123, 98109, 15232]",63.13,0.27,61.43,2.4
it,zh,stanza,rgat,xlmr-base,"[15123, 98109, 11737]",64.7,1.45,63.98,1.43
it,zh,trankit,rgcn,xlmr-base,"[98105, 11737, 98109]",64.67,1.04,62.39,3.2
it,zh,trankit,rgat,xlmr-base,"[98109, 15232, 11737]",64.63,1.45,62.3,3.09
